time_type,date,indicator,indicator_category,geography,group_name,group_category,estimate,sd,season
Weekly,11/11/2023,booster,boosted,National,Health Insurance,Uninsured,3.7179,0.2813775510204082,2023/2024
Weekly,11/11/2023,booster,boosted,National,Gender Identity,Cisgender,13.141,0.1714795918367347,2023/2024
Weekly,11/11/2023,booster,boosted,National,Gender Identity,Don't Know/Refused,8.5111,1.026887755102041,2023/2024
Weekly,11/11/2023,booster,boosted,National,Gender Identity,Transgender/Nonbinary,13.2454,1.2143367346938776,2023/2024
Weekly,11/11/2023,booster,boosted,National,Disability Status,No,13.1151,0.18086734693877551,2023/2024
Weekly,11/11/2023,booster,boosted,National,Disability Status,Yes,12.8057,0.45698979591836736,2023/2024
Weekly,11/11/2023,booster,boosted,National,Age,18-29 years,4.2251,0.1790816326530612,2023/2024
Weekly,11/11/2023,booster,boosted,National,Age,30-39 years,7.9977,0.283265306,2023/2024
Weekly,11/11/2023,booster,boosted,National,Age,40-49 years,9.6976,0.30301020408163265,2023/2024
Weekly,11/11/2023,booster,boosted,National,Age,50-64 years,15.2941,0.42091836734693877,2023/2024
Weekly,11/11/2023,booster,boosted,National,Age,65-74 years,23.8667,0.5019897959183673,2023/2024
Weekly,11/11/2023,booster,boosted,National,Age,75+ years,26.9392,0.7765816326530612,2023/2024
Weekly,11/18/2023,booster,boosted,Illinois-City of Chicago,Overall,Overall,19.3623,1.2185714285714284,2023/2024
Weekly,11/18/2023,booster,boosted,Illinois-Rest of State,Overall,Overall,16.3577,0.6601530612244898,2023/2024
Weekly,11/18/2023,booster,boosted,New York-New York City,Overall,Overall,10.2994,0.713469388,2023/2024
Weekly,11/18/2023,booster,boosted,New York-Rest of State,Overall,Overall,16.7237,0.72,2023/2024
Weekly,11/18/2023,booster,boosted,Pennsylvania-Philadelphia County,Overall,Overall,14.8636,1.2340306122448979,2023/2024
Weekly,11/18/2023,booster,boosted,Pennsylvania-Rest of State,Overall,Overall,15.688,0.6087244897959184,2023/2024
Weekly,11/18/2023,booster,boosted,Texas-Bexar County,Overall,Overall,11.5297,0.5126020408163265,2023/2024
Weekly,11/18/2023,booster,boosted,Texas-City of Houston,Overall,Overall,12.4337,0.8046428571428571,2023/2024
Weekly,11/18/2023,booster,boosted,Texas-Rest of State,Overall,Overall,8.573,0.4820408163265306,2023/2024
Weekly,11/18/2023,booster,boosted,National,Health Insurance Among 18-64 Years,Insured,11.9089,0.29188775510204085,2023/2024
Weekly,11/18/2023,booster,boosted,National,Health Insurance Among 18-64 Years,Uninsured,3.4078,0.2453061224489796,2023/2024
Weekly,11/18/2023,booster,boosted,Rhode Island,Overall,Overall,18.6182,1.3458163265306122,2023/2024
Weekly,11/18/2023,booster,boosted,South Carolina,Overall,Overall,10.285,0.5373469387755102,2023/2024
Weekly,11/18/2023,booster,boosted,South Dakota,Overall,Overall,13.591,0.806938776,2023/2024
Weekly,11/18/2023,booster,boosted,Tennessee,Overall,Overall,12.5498,0.7119897959183673,2023/2024
Weekly,11/18/2023,booster,boosted,Texas,Overall,Overall,9.0796,0.42877551020408167,2023/2024
Weekly,11/18/2023,booster,boosted,Utah,Overall,Overall,11.6523,1.0380102040816326,2023/2024
Weekly,11/18/2023,booster,boosted,Vermont,Overall,Overall,21.8424,1.7155612244897958,2023/2024
Weekly,11/18/2023,booster,boosted,Virgin Islands,Overall,Overall,2.4089,0.3921938775510204,2023/2024
Weekly,11/18/2023,booster,boosted,Virginia,Overall,Overall,17.401,0.680204082,2023/2024
Weekly,11/18/2023,booster,boosted,Washington,Overall,Overall,18.7487,1.3033673469387757,2023/2024
Weekly,11/18/2023,booster,boosted,West Virginia,Overall,Overall,11.503,0.7974489795918367,2023/2024
Weekly,11/18/2023,booster,boosted,Wisconsin,Overall,Overall,17.481,1.2962244897959183,2023/2024
Weekly,11/18/2023,booster,boosted,Wyoming,Overall,Overall,11.3532,0.7487755102040816,2023/2024
Weekly,11/18/2023,booster,boosted,Region 1,Overall,Overall,21.7202,0.6148979591836735,2023/2024
Weekly,11/18/2023,booster,boosted,Region 10,Overall,Overall,18.4615,0.9195408163265306,2023/2024
Weekly,11/18/2023,booster,boosted,Region 2,Overall,Overall,13.8545,0.4279591836734694,2023/2024
Weekly,11/18/2023,booster,boosted,Region 3,Overall,Overall,16.6664,0.4253061224489796,2023/2024
Weekly,11/18/2023,booster,boosted,Region 4,Overall,Overall,11.147,0.7143877551020408,2023/2024
Weekly,11/18/2023,booster,boosted,Region 5,Overall,Overall,15.986,0.4182142857142857,2023/2024
Weekly,11/18/2023,booster,boosted,Region 6,Overall,Overall,9.8902,0.42392857142857143,2023/2024
Weekly,11/18/2023,booster,boosted,Region 7,Overall,Overall,13.0621,0.4789285714285714,2023/2024
Weekly,11/18/2023,booster,boosted,Region 8,Overall,Overall,16.0187,0.544795918,2023/2024
Weekly,11/18/2023,booster,boosted,Region 9,Overall,Overall,14.2579,0.6360714285714285,2023/2024
Weekly,11/18/2023,booster,boosted,National,Overall,Overall,14.4094,0.24403061224489797,2023/2024
Weekly,11/18/2023,booster,boosted,National,Health Insurance,Insured,15.877,0.27852040816326534,2023/2024
Weekly,11/18/2023,booster,boosted,National,Health Insurance,Uninsured,3.8856,0.27908163265306124,2023/2024
Weekly,11/18/2023,booster,boosted,National,Gender Identity,Cisgender,14.4717,0.24933673469387757,2023/2024
Weekly,11/18/2023,booster,boosted,National,Gender Identity,Don't Know/Refused,9.228,1.1483673469387754,2023/2024
Weekly,11/18/2023,booster,boosted,National,Gender Identity,Transgender/Nonbinary,14.0574,1.2642857142857145,2023/2024
Weekly,11/18/2023,booster,boosted,National,Disability Status,No,14.4204,0.25326530612244896,2023/2024
Weekly,11/18/2023,booster,boosted,National,Disability Status,Yes,14.2181,0.8558163265306122,2023/2024
Weekly,11/18/2023,booster,boosted,National,Age,18-29 years,4.5435,0.20260204081632655,2023/2024
Weekly,11/18/2023,booster,boosted,National,Age,30-39 years,9.6436,0.7444387755102041,2023/2024
Weekly,11/18/2023,booster,boosted,National,Age,40-49 years,10.011,0.3109693877551021,2023/2024
Weekly,11/18/2023,booster,boosted,National,Age,50-64 years,16.1092,0.4179591836734694,2023/2024
Weekly,11/18/2023,booster,boosted,National,Age,65-74 years,27.1465,0.9028061224489796,2023/2024
Weekly,11/18/2023,booster,boosted,National,Age,75+ years,28.4448,0.9444897959183673,2023/2024
Weekly,11/18/2023,booster,boosted,National,Urbanicity,Rural (Non-MSA),11.3447,0.4191326530612245,2023/2024
Weekly,11/18/2023,booster,boosted,National,Urbanicity,Suburban (MSA Non-Principal City),14.773,0.32862244897959186,2023/2024
Weekly,11/18/2023,booster,boosted,National,Urbanicity,Urban MSA Principal City,14.9972,0.4585714285714286,2023/2024
Weekly,11/18/2023,booster,boosted,National,Sexual Orientation,Don't Know/Refused,11.2997,0.5475,2023/2024
Weekly,11/18/2023,booster,boosted,National,Sexual Orientation,Gay/Lesbian/Bisexual/Other,13.2057,0.4885204081632653,2023/2024
Weekly,11/18/2023,booster,boosted,National,Sexual Orientation,Straight,14.7249,0.27729591836734696,2023/2024
Weekly,11/18/2023,booster,boosted,National,Sex,Female,16.0616,0.3778061224489796,2023/2024
Weekly,11/18/2023,booster,boosted,National,Sex,Male,12.7078,0.302295918,2023/2024
Weekly,11/18/2023,booster,boosted,National,Race/Ethnicity,"American Indian/Alaska Native, Non-Hispanic",5.3772,0.5953571428571429,2023/2024
Weekly,11/18/2023,booster,boosted,National,Race/Ethnicity,"Asian, Non-Hispanic",12.2954,0.7361734693877552,2023/2024
Weekly,11/18/2023,booster,boosted,National,Race/Ethnicity,"Black, Non-Hispanic",10.2964,0.4006122448979592,2023/2024
Weekly,11/18/2023,booster,boosted,National,Race/Ethnicity,Hispanic,7.8877,0.6511734693877551,2023/2024
Weekly,11/18/2023,booster,boosted,National,Race/Ethnicity,"Other, Non-Hispanic",10.5619,0.47306122448979593,2023/2024
Weekly,11/18/2023,booster,boosted,National,Race/Ethnicity,"Pacific Islander/Native Hawaiian, Non-Hispanic",9.5603,1.7475,2023/2024
Weekly,11/18/2023,booster,boosted,National,Race/Ethnicity,"White, Non-Hispanic",17.7394,0.32948979591836736,2023/2024
Weekly,11/18/2023,booster,boosted,National,Poverty Status,"Above Poverty, Income >= $75k",19.8303,0.5334183673469388,2023/2024
Weekly,11/18/2023,booster,boosted,National,Poverty Status,Below Poverty,7.5519,0.7030612244897959,2023/2024
Weekly,11/18/2023,booster,boosted,National,Poverty Status,"Above Poverty, Income < $75k",12.4723,0.329234694,2023/2024
Weekly,11/18/2023,booster,boosted,National,Poverty Status,Poverty Status Unknown,11.6577,0.3069387755102041,2023/2024
Weekly,11/18/2023,booster,boosted,Alabama,Overall,Overall,9.3885,0.9348979591836735,2023/2024
Weekly,11/18/2023,booster,boosted,Alaska,Overall,Overall,11.8987,0.7532653061224489,2023/2024
Weekly,11/18/2023,booster,boosted,Arizona,Overall,Overall,13.9634,0.6626020408163266,2023/2024
Weekly,11/18/2023,booster,boosted,Arkansas,Overall,Overall,11.0191,1.3073469387755101,2023/2024
Weekly,11/18/2023,booster,boosted,California,Overall,Overall,14.4681,0.8020408163265307,2023/2024
Weekly,11/18/2023,booster,boosted,Colorado,Overall,Overall,20.0141,0.8936734693877552,2023/2024
Weekly,11/18/2023,booster,boosted,Connecticut,Overall,Overall,16.0044,0.9899489795918367,2023/2024
Weekly,11/18/2023,booster,boosted,Delaware,Overall,Overall,16.9958,0.6408673469387756,2023/2024
Weekly,11/18/2023,booster,boosted,District of Columbia,Overall,Overall,26.3588,0.780765306,2023/2024
Weekly,11/18/2023,booster,boosted,Florida,Overall,Overall,8.9023,0.6006632653061225,2023/2024
Weekly,11/18/2023,booster,boosted,Georgia,Overall,Overall,10.2171,2.4460714285714285,2023/2024
Weekly,11/18/2023,booster,boosted,Hawaii,Overall,Overall,14.9842,0.6823979591836734,2023/2024
Weekly,11/18/2023,booster,boosted,Idaho,Overall,Overall,15.1424,3.352295918367347,2023/2024
Weekly,11/18/2023,booster,boosted,Illinois,Overall,Overall,17.0069,0.601530612,2023/2024
Weekly,11/18/2023,booster,boosted,Indiana,Overall,Overall,12.19,0.6262244897959184,2023/2024
Weekly,11/18/2023,booster,boosted,Iowa,Overall,Overall,13.0522,0.789030612,2023/2024
Weekly,11/18/2023,booster,boosted,Kansas,Overall,Overall,12.0032,0.9936224489795918,2023/2024
Weekly,11/18/2023,booster,boosted,Kentucky,Overall,Overall,13.5514,2.3857142857142857,2023/2024
Weekly,11/18/2023,booster,boosted,Louisiana,Overall,Overall,6.8718,0.5070918367346939,2023/2024
Weekly,11/18/2023,booster,boosted,Maine,Overall,Overall,21.5645,0.8130612244897959,2023/2024
Weekly,11/18/2023,booster,boosted,Maryland,Overall,Overall,17.9663,1.040561224489796,2023/2024
Weekly,11/18/2023,booster,boosted,Massachusetts,Overall,Overall,23.3198,0.7601530612244898,2023/2024
Weekly,11/18/2023,booster,boosted,Michigan,Overall,Overall,16.2458,1.0896938775510205,2023/2024
Weekly,11/18/2023,booster,boosted,Minnesota,Overall,Overall,23.3598,1.1360714285714286,2023/2024
Weekly,11/18/2023,booster,boosted,Mississippi,Overall,Overall,5.0074,0.44551020408163267,2023/2024
Weekly,11/18/2023,booster,boosted,Missouri,Overall,Overall,12.8543,0.6686734693877551,2023/2024
Weekly,11/18/2023,booster,boosted,Montana,Overall,Overall,15.7528,0.6680612244897959,2023/2024
Weekly,11/18/2023,booster,boosted,Nebraska,Overall,Overall,14.0065,0.805561224,2023/2024
Weekly,11/18/2023,booster,boosted,Nevada,Overall,Overall,11.2476,0.6855102040816327,2023/2024
Weekly,11/18/2023,booster,boosted,New Hampshire,Overall,Overall,20.9599,0.769795918,2023/2024
Weekly,11/18/2023,booster,boosted,New Jersey,Overall,Overall,15.9609,0.7054081632653062,2023/2024
Weekly,11/18/2023,booster,boosted,New Mexico,Overall,Overall,14.1419,0.5547959183673469,2023/2024
Weekly,11/18/2023,booster,boosted,New York,Overall,Overall,14.333,0.593061224,2023/2024
Weekly,11/18/2023,booster,boosted,North Carolina,Overall,Overall,11.4419,0.5059183673469388,2023/2024
Weekly,11/18/2023,booster,boosted,North Dakota,Overall,Overall,13.0254,0.9618877551020408,2023/2024
Weekly,11/18/2023,booster,boosted,Ohio,Overall,Overall,11.2526,0.6874489795918367,2023/2024
Weekly,11/18/2023,booster,boosted,Oklahoma,Overall,Overall,8.6468,0.47714285714285715,2023/2024
Weekly,11/18/2023,booster,boosted,Oregon,Overall,Overall,19.8777,1.0149489795918367,2023/2024
Weekly,11/18/2023,booster,boosted,Pennsylvania,Overall,Overall,15.5644,0.6018367346938776,2023/2024
Weekly,11/18/2023,booster,boosted,Puerto Rico,Overall,Overall,4.9463,0.2686734693877551,2023/2024
Weekly,11/25/2023,booster,boosted,Illinois-City of Chicago,Overall,Overall,19.3623,1.2185714285714284,2023/2024
Weekly,11/25/2023,booster,boosted,Illinois-Rest of State,Overall,Overall,16.3577,0.6601530612244898,2023/2024
Weekly,11/25/2023,booster,boosted,New York-New York City,Overall,Overall,10.3679,0.7167857142857144,2023/2024
Weekly,11/25/2023,booster,boosted,New York-Rest of State,Overall,Overall,17.7166,0.9165816326530613,2023/2024
Weekly,11/25/2023,booster,boosted,Pennsylvania-Philadelphia County,Overall,Overall,14.8636,1.2340306122448979,2023/2024
Weekly,11/25/2023,booster,boosted,Pennsylvania-Rest of State,Overall,Overall,16.1803,0.6943877551020409,2023/2024
Weekly,11/25/2023,booster,boosted,Texas-Bexar County,Overall,Overall,11.6603,0.5289795918367347,2023/2024
Weekly,11/25/2023,booster,boosted,Texas-City of Houston,Overall,Overall,13.3163,1.0426530612244898,2023/2024
Weekly,11/25/2023,booster,boosted,Texas-Rest of State,Overall,Overall,8.5783,0.48209183673469386,2023/2024
Weekly,11/25/2023,booster,boosted,National,Health Insurance Among 18-64 Years,Insured,12.2221,0.29862244897959184,2023/2024
Weekly,11/25/2023,booster,boosted,National,Health Insurance Among 18-64 Years,Uninsured,3.5504,0.265765306,2023/2024
Weekly,11/25/2023,booster,boosted,National,Urbanicity,Rural (Non-MSA),11.5707,0.43306122448979595,2023/2024
Weekly,11/25/2023,booster,boosted,National,Urbanicity,Suburban (MSA Non-Principal City),15.1637,0.3378061224489796,2023/2024
Weekly,11/25/2023,booster,boosted,National,Urbanicity,Urban MSA Principal City,15.2492,0.46244897959183673,2023/2024
Weekly,11/25/2023,booster,boosted,National,Sexual Orientation,Don't Know/Refused,11.7411,0.5871938775510205,2023/2024
Weekly,11/25/2023,booster,boosted,National,Race/Ethnicity,"Other, Non-Hispanic",10.7831,0.483265306,2023/2024
Weekly,11/25/2023,booster,boosted,National,Race/Ethnicity,"Pacific Islander/Native Hawaiian, Non-Hispanic",10.4178,1.9620918367346938,2023/2024
Weekly,11/25/2023,booster,boosted,National,Race/Ethnicity,"White, Non-Hispanic",18.1696,0.3380102040816326,2023/2024
Weekly,11/25/2023,booster,boosted,National,Poverty Status,"Above Poverty, Income >= $75k",20.229,0.5428061224489796,2023/2024
Weekly,11/25/2023,booster,boosted,National,Poverty Status,Below Poverty,7.9488,0.719591837,2023/2024
Weekly,11/25/2023,booster,boosted,National,Poverty Status,"Above Poverty, Income < $75k",12.7617,0.338265306,2023/2024
Weekly,11/25/2023,booster,boosted,National,Poverty Status,Poverty Status Unknown,11.874,0.31418367346938775,2023/2024
Weekly,11/25/2023,booster,boosted,Alabama,Overall,Overall,9.414,0.4063775510204082,2023/2024
Weekly,11/25/2023,booster,boosted,Alaska,Overall,Overall,11.8987,0.7532653061224489,2023/2024
Weekly,11/25/2023,booster,boosted,Arizona,Overall,Overall,14.7014,0.7587755102040817,2023/2024
Weekly,11/25/2023,booster,boosted,Arkansas,Overall,Overall,11.0191,1.3073469387755101,2023/2024
Weekly,11/25/2023,booster,boosted,California,Overall,Overall,14.5216,0.8038265306122448,2023/2024
Weekly,11/25/2023,booster,boosted,Colorado,Overall,Overall,21.9158,1.139948979591837,2023/2024
Weekly,11/25/2023,booster,boosted,Connecticut,Overall,Overall,16.5674,1.1393367346938774,2023/2024
Weekly,11/25/2023,booster,boosted,Delaware,Overall,Overall,18.4627,0.9935204081632654,2023/2024
Weekly,11/25/2023,booster,boosted,District of Columbia,Overall,Overall,27.5062,0.9679081632653062,2023/2024
Weekly,11/25/2023,booster,boosted,Florida,Overall,Overall,8.9023,0.6006632653061225,2023/2024
Weekly,11/25/2023,booster,boosted,Georgia,Overall,Overall,10.2171,2.4460714285714285,2023/2024
Weekly,11/25/2023,booster,boosted,Hawaii,Overall,Overall,15.3245,0.7629081632653062,2023/2024
Weekly,11/25/2023,booster,boosted,Idaho,Overall,Overall,15.1424,3.352295918367347,2023/2024
Weekly,11/25/2023,booster,boosted,Illinois,Overall,Overall,17.0069,0.601530612,2023/2024
Weekly,11/25/2023,booster,boosted,Indiana,Overall,Overall,12.756,0.7701530612244898,2023/2024
Weekly,11/25/2023,booster,boosted,Iowa,Overall,Overall,NA,NA,2023/2024
Weekly,11/25/2023,booster,boosted,Kansas,Overall,Overall,12.197,1.0127551020408163,2023/2024
Weekly,11/25/2023,booster,boosted,Kentucky,Overall,Overall,NA,NA,2023/2024
Weekly,11/25/2023,booster,boosted,Louisiana,Overall,Overall,6.8718,0.5070918367346939,2023/2024
Weekly,11/25/2023,booster,boosted,National,Sexual Orientation,Gay/Lesbian/Bisexual/Other,13.2362,0.4888265306122449,2023/2024
Weekly,11/25/2023,booster,boosted,National,Sexual Orientation,Straight,15.0666,0.28255102040816327,2023/2024
Weekly,11/25/2023,booster,boosted,National,Sex,Female,16.4369,0.3848979591836735,2023/2024
Weekly,11/25/2023,booster,boosted,National,Sex,Male,12.976,0.30857142857142855,2023/2024
Weekly,11/25/2023,booster,boosted,National,Race/Ethnicity,"American Indian/Alaska Native, Non-Hispanic",5.3772,0.5953571428571429,2023/2024
Weekly,11/25/2023,booster,boosted,National,Race/Ethnicity,"Asian, Non-Hispanic",12.5241,0.7479081632653062,2023/2024
Weekly,11/25/2023,booster,boosted,National,Race/Ethnicity,"Black, Non-Hispanic",10.4281,0.4114795918367347,2023/2024
Weekly,11/25/2023,booster,boosted,National,Race/Ethnicity,Hispanic,8.0482,0.6557653061224491,2023/2024
Weekly,11/25/2023,booster,boosted,Maine,Overall,Overall,23.0753,0.5773469387755101,2023/2024
Weekly,11/25/2023,booster,boosted,Maryland,Overall,Overall,18.9994,1.467142857142857,2023/2024
Weekly,11/25/2023,booster,boosted,Massachusetts,Overall,Overall,24.1702,0.9145918367346939,2023/2024
Weekly,11/25/2023,booster,boosted,Michigan,Overall,Overall,16.2458,1.0896938775510205,2023/2024
Weekly,11/25/2023,booster,boosted,Minnesota,Overall,Overall,23.4122,1.1372959183673468,2023/2024
Weekly,11/25/2023,booster,boosted,Mississippi,Overall,Overall,NA,NA,2023/2024
Weekly,11/25/2023,booster,boosted,Missouri,Overall,Overall,NA,NA,2023/2024
Weekly,11/25/2023,booster,boosted,Montana,Overall,Overall,16.2578,0.7379591836734694,2023/2024
Weekly,11/25/2023,booster,boosted,Nebraska,Overall,Overall,14.0065,0.805561224,2023/2024
Weekly,11/25/2023,booster,boosted,Nevada,Overall,Overall,11.6835,0.7556632653061225,2023/2024
Weekly,11/25/2023,booster,boosted,New Hampshire,Overall,Overall,21.7642,0.8663775510204081,2023/2024
Weekly,11/25/2023,booster,boosted,New Jersey,Overall,Overall,17.0669,0.9095918367346939,2023/2024
Weekly,11/25/2023,booster,boosted,New Mexico,Overall,Overall,15.0445,0.8009183673469389,2023/2024
Weekly,11/25/2023,booster,boosted,New York,Overall,Overall,14.9348,0.6783163265306122,2023/2024
Weekly,11/25/2023,booster,boosted,North Carolina,Overall,Overall,11.4419,0.5059183673469388,2023/2024
Weekly,11/25/2023,booster,boosted,North Dakota,Overall,Overall,13.0254,0.9618877551020408,2023/2024
Weekly,11/25/2023,booster,boosted,Ohio,Overall,Overall,11.2526,0.6874489795918367,2023/2024
Weekly,11/25/2023,booster,boosted,Oklahoma,Overall,Overall,8.6468,0.47714285714285715,2023/2024
Weekly,11/25/2023,booster,boosted,Oregon,Overall,Overall,21.8489,1.3935714285714285,2023/2024
Weekly,11/25/2023,booster,boosted,Pennsylvania,Overall,Overall,15.9963,0.6695408163265306,2023/2024
Weekly,11/25/2023,booster,boosted,Puerto Rico,Overall,Overall,4.9463,0.2686734693877551,2023/2024
Weekly,11/25/2023,booster,boosted,Rhode Island,Overall,Overall,18.6182,1.3458163265306122,2023/2024
Weekly,11/25/2023,booster,boosted,South Carolina,Overall,Overall,11.4151,0.7960714285714285,2023/2024
Weekly,11/25/2023,booster,boosted,South Dakota,Overall,Overall,14.4284,1.1700000000000002,2023/2024
Weekly,11/25/2023,booster,boosted,Tennessee,Overall,Overall,12.5498,0.7119897959183673,2023/2024
Weekly,11/25/2023,booster,boosted,Texas,Overall,Overall,9.1559,0.43147959183673473,2023/2024
Weekly,11/25/2023,booster,boosted,Utah,Overall,Overall,11.6523,1.0380102040816326,2023/2024
Weekly,11/25/2023,booster,boosted,Vermont,Overall,Overall,22.2224,1.735969387755102,2023/2024
Weekly,11/25/2023,booster,boosted,Virgin Islands,Overall,Overall,2.4089,0.3921938775510204,2023/2024
Weekly,11/25/2023,booster,boosted,Virginia,Overall,Overall,18.193,0.8689285714285715,2023/2024
Weekly,11/25/2023,booster,boosted,Washington,Overall,Overall,18.7487,1.3033673469387757,2023/2024
Weekly,11/25/2023,booster,boosted,West Virginia,Overall,Overall,11.9173,0.8989285714285714,2023/2024
Weekly,11/25/2023,booster,boosted,Wisconsin,Overall,Overall,17.481,1.2962244897959183,2023/2024
Weekly,11/25/2023,booster,boosted,Wyoming,Overall,Overall,11.3532,0.7487755102040816,2023/2024
Weekly,11/25/2023,booster,boosted,Region 1,Overall,Overall,22.5261,0.6772959183673469,2023/2024
Weekly,11/25/2023,booster,boosted,Region 10,Overall,Overall,19.0546,0.9638775510204082,2023/2024
Weekly,11/25/2023,booster,boosted,Region 2,Overall,Overall,14.5314,0.4995408163265306,2023/2024
Weekly,11/25/2023,booster,boosted,Region 3,Overall,Overall,17.3622,0.5093367346938775,2023/2024
Weekly,11/25/2023,booster,boosted,Region 4,Overall,Overall,11.3007,0.7183163265306122,2023/2024
Weekly,11/25/2023,booster,boosted,Region 5,Overall,Overall,16.0632,0.4220918367346939,2023/2024
Weekly,11/25/2023,booster,boosted,Region 6,Overall,Overall,9.9872,0.42617346938775513,2023/2024
Weekly,11/25/2023,booster,boosted,Region 7,Overall,Overall,13.2368,0.49933673469387757,2023/2024
Weekly,11/25/2023,booster,boosted,Region 8,Overall,Overall,17.0439,0.6466326530612245,2023/2024
Weekly,11/25/2023,booster,boosted,Region 9,Overall,Overall,14.4395,0.6399489795918367,2023/2024
Weekly,11/25/2023,booster,boosted,National,Overall,Overall,14.7321,0.24872448979591838,2023/2024
Weekly,11/25/2023,booster,boosted,National,Health Insurance,Insured,16.2268,0.28377551020408165,2023/2024
Weekly,11/25/2023,booster,boosted,National,Health Insurance,Uninsured,4.0185,0.29489795918367345,2023/2024
Weekly,11/25/2023,booster,boosted,National,Gender Identity,Cisgender,14.7966,0.2541326530612245,2023/2024
Weekly,11/25/2023,booster,boosted,National,Gender Identity,Don't Know/Refused,9.8076,1.291938775510204,2023/2024
Weekly,11/25/2023,booster,boosted,National,Gender Identity,Transgender/Nonbinary,14.1108,1.2654591836734694,2023/2024
Weekly,11/25/2023,booster,boosted,National,Disability Status,No,14.7486,0.25862244897959186,2023/2024
Weekly,11/25/2023,booster,boosted,National,Disability Status,Yes,14.4965,0.8627040816326531,2023/2024
Weekly,11/25/2023,booster,boosted,National,Age,18-29 years,4.7465,0.21678571428571428,2023/2024
Weekly,11/25/2023,booster,boosted,National,Age,30-39 years,9.732,0.7454591836734694,2023/2024
Weekly,11/25/2023,booster,boosted,National,Age,40-49 years,10.354,0.33821428571428575,2023/2024
Weekly,11/25/2023,booster,boosted,National,Age,50-64 years,16.5792,0.4415816326530613,2023/2024
Weekly,11/25/2023,booster,boosted,National,Age,65-74 years,27.6143,0.9113265306122449,2023/2024
Weekly,11/25/2023,booster,boosted,National,Age,75+ years,29.0277,0.9658673469387755,2023/2024
Weekly,12/2/2023,booster,boosted,National,Urbanicity,Rural (Non-MSA),13.1127,0.2887755102040816,2023/2024
Weekly,12/2/2023,booster,boosted,National,Urbanicity,Suburban (MSA Non-Principal City),16.8757,0.19658163265306122,2023/2024
Weekly,12/2/2023,booster,boosted,National,Urbanicity,Urban MSA Principal City,17.0032,0.24862244897959185,2023/2024
Weekly,12/2/2023,booster,boosted,National,Sexual Orientation,Don't Know/Refused,14.1306,0.5353061224489796,2023/2024
Weekly,12/2/2023,booster,boosted,National,Sexual Orientation,Gay/Lesbian/Bisexual/Other,17.8419,0.7071938775510205,2023/2024
Weekly,12/2/2023,booster,boosted,National,Sexual Orientation,Straight,16.5367,0.14964285714285716,2023/2024
Weekly,12/2/2023,booster,boosted,National,Sex,Female,18.2722,0.23020408163265307,2023/2024
Weekly,12/2/2023,booster,boosted,National,Sex,Male,14.6875,0.18852040816326532,2023/2024
Weekly,12/2/2023,booster,boosted,National,Race/Ethnicity,"American Indian/Alaska Native, Non-Hispanic",8.3809,0.7358163265306122,2023/2024
Weekly,12/2/2023,booster,boosted,National,Race/Ethnicity,"Asian, Non-Hispanic",16.0253,0.7552040816326531,2023/2024
Weekly,12/2/2023,booster,boosted,National,Race/Ethnicity,"Black, Non-Hispanic",13.110900000000001,0.5110204081632653,2023/2024
Weekly,12/2/2023,booster,boosted,National,Race/Ethnicity,Hispanic,9.9527,0.34244897959183673,2023/2024
Weekly,12/2/2023,booster,boosted,National,Race/Ethnicity,"Other, Non-Hispanic",13.6467,0.47841836734693877,2023/2024
Weekly,12/2/2023,booster,boosted,National,Race/Ethnicity,"Pacific Islander/Native Hawaiian, Non-Hispanic",12.3793,1.9086734693877552,2023/2024
Weekly,12/2/2023,booster,boosted,National,Race/Ethnicity,"White, Non-Hispanic",19.5175,0.17969387755102043,2023/2024
Weekly,12/2/2023,booster,boosted,National,Poverty Status,"Above Poverty, Income < $75k",14.6312,0.24081632653061225,2023/2024
Weekly,12/2/2023,booster,boosted,National,Poverty Status,"Above Poverty, Income >= $75k",21.3635,0.2519387755102041,2023/2024
Weekly,12/2/2023,booster,boosted,National,Poverty Status,Below Poverty,9.5005,0.3378061224489796,2023/2024
Weekly,12/2/2023,booster,boosted,National,Poverty Status,Poverty Status Unknown,14.2441,0.2819387755102041,2023/2024
Weekly,12/2/2023,booster,boosted,Illinois-City of Chicago,Overall,Overall,21.0977,0.7294897959183674,2023/2024
Weekly,12/2/2023,booster,boosted,Illinois-Rest of State,Overall,Overall,19.6771,0.5135204081632653,2023/2024
Weekly,12/2/2023,booster,boosted,New York-New York City,Overall,Overall,14.6091,0.7389795918367347,2023/2024
Weekly,12/2/2023,booster,boosted,New York-Rest of State,Overall,Overall,18.2523,0.6058163265306122,2023/2024
Weekly,12/2/2023,booster,boosted,Pennsylvania-Philadelphia County,Overall,Overall,17.6368,0.5903061224489796,2023/2024
Weekly,12/2/2023,booster,boosted,Pennsylvania-Rest of State,Overall,Overall,17.9546,0.48035714285714287,2023/2024
Weekly,12/2/2023,booster,boosted,Texas-Bexar County,Overall,Overall,14.2891,0.4325,2023/2024
Weekly,12/2/2023,booster,boosted,Texas-City of Houston,Overall,Overall,13.3542,0.4270408163265306,2023/2024
Weekly,12/2/2023,booster,boosted,Texas-Rest of State,Overall,Overall,12.2482,0.5516326530612244,2023/2024
Weekly,12/2/2023,booster,boosted,Alabama,Overall,Overall,9.414,0.4063775510204082,2023/2024
Weekly,12/2/2023,booster,boosted,Alaska,Overall,Overall,14.1042,0.6370918367346938,2023/2024
